Date,Open,High,Low,Close
"2018-06-28 03:43:00",6101.82594184,6101.82594184,6100.3,6101.82594184
"2018-06-28 03:44:00",6100.3,6101.9,6100.3,6101.9
"2018-06-28 03:45:00",6101.9,6101.9,6101.8,6101.8
"2018-06-28 03:46:00",6101.6,6101.6,6100.6,6101
"2018-06-28 03:47:00",6100.6,6100.6,6097.5,6097.5
"2018-06-28 03:48:00",6100.5,6100.6,6095,6095.1
"2018-06-28 03:49:00",6095,6096,6086.9,6090.4
"2018-06-28 03:50:00",6090.3,6090.3,6090.3,6090.3
"2018-06-28 03:51:00",6090.3832826,6095.8,6090,6091
"2018-06-28 03:52:00",6095.8,6095.8,6091,6095.7
"2018-06-28 03:53:00",6095.7,6095.7,6095.2,6095.2
"2018-06-28 03:54:00",6093.3,6093.3,6087.2,6092.7
"2018-06-28 03:55:00",6092.7,6092.7,6084.9,6087.1
"2018-06-28 03:56:00",6087,6087,6075,6075
"2018-06-28 03:57:00",6076.6,6090.1,6069.9,6089.6
"2018-06-28 03:58:00",6086.4,6092.2,6083.7,6092.1
"2018-06-28 03:59:00",6092.2,6095.5,6087.9,6095.30928308
"2018-06-28 04:00:00",6095.2,6097.1,6094,6094
"2018-06-28 04:01:00",6091.8,6091.8,6087.6,6087.6
"2018-06-28 04:02:00",6087.6,6089.9,6087.6,6087.6
"2018-06-28 04:03:00",6087.7,6092.7,6087.7,6092.7
"2018-06-28 04:04:00",6092.6,6093.3,6090.8,6090.8
"2018-06-28 04:05:00",6091.9,6093.8,6090.1,6090.1
"2018-06-28 04:06:00",6092,6093.7,6091.9,6091.9
"2018-06-28 04:07:00",6091.9,6092,6091.9,6092
"2018-06-28 04:08:00",6091.9,6091.9,6090,6090
"2018-06-28 04:09:00",6091.8,6091.8,6089,6089.1
"2018-06-28 04:10:00",6090,6090,6089.9,6089.9
"2018-06-28 04:11:00",6089,6089,6087.6,6087.6
"2018-06-28 04:12:00",6088,6088,6083.9,6083.9
"2018-06-28 04:13:00",6083.9,6088,6079.4,6079.5
"2018-06-28 04:14:00",6079.48467543,6080.3,6079.48467543,6079.5
"2018-06-28 04:15:00",6079.5,6079.5,6079.48467543,6079.48467543
"2018-06-28 04:16:00",6079.48467543,6082.1,6075.1,6082.1
"2018-06-28 04:17:00",6080.7,6089.6,6079.4,6089.6
"2018-06-28 04:18:00",6087,6093.2,6087,6093
"2018-06-28 04:19:00",6087.1,6094.4,6087.1,6091.1
"2018-06-28 04:20:00",6094.3,6099.6,6092.4,6097.9
"2018-06-28 04:21:00",6098,6098,6087,6097.9
"2018-06-28 04:22:00",6097.9,6097.9,6087.9,6087.9
"2018-06-28 04:23:00",6087,6087,6086.1,6086.9
"2018-06-28 04:24:00",6086.9,6087.9,6084.8,6086.4
"2018-06-28 04:25:00",6086.4,6086.4,6086.4,6086.4
"2018-06-28 04:26:00",6086.4,6086.4,6086.3,6086.4
"2018-06-28 04:27:00",6086.4,6086.4,6086.4,6086.4
"2018-06-28 04:28:00",6086.5,6089.3,6086.4,6089.3
